iter	Passed	Remaining
0	78	39386
1	138	34567
2	201	33301
3	262	32518
4	320	31757
5	378	31191
6	439	30935
7	501	30831
8	563	30725
9	624	30606
10	689	30646
11	751	30579
12	813	30466
13	872	30294
14	936	30292
15	995	30119
16	1061	30172
17	1125	30138
18	1186	30027
19	1253	30086
20	1312	29944
21	1374	29869
22	1441	29895
23	1504	29839
24	1567	29788
25	1630	29720
26	1692	29643
27	1765	29760
28	1829	29706
29	1891	29639
30	1947	29465
31	2005	29333
32	2072	29333
33	2129	29191
34	2196	29183
35	2255	29076
36	2318	29008
37	2377	28908
38	2434	28775
39	2493	28669
40	2548	28534
41	2612	28490
42	2671	28391
43	2732	28318
44	2789	28204
45	2851	28143
46	2908	28033
47	2968	27957
48	3030	27891
49	3089	27804
50	3151	27742
51	3212	27680
52	3273	27605
53	3336	27559
54	3395	27475
55	3453	27378
56	3508	27265
57	3565	27168
58	3622	27073
59	3680	26989
60	3741	26923
61	3806	26888
62	3861	26787
63	3925	26745
64	3982	26653
65	4044	26595
66	4101	26503
67	4162	26445
68	4221	26367
69	4273	26249
70	4334	26192
71	4391	26103
72	4446	26010
73	4502	25920
74	4560	25844
75	4617	25758
76	4667	25642
77	4727	25575
78	4786	25506
79	4850	25463
80	4909	25396
81	4966	25317
82	5026	25253
83	5081	25167
84	5144	25117
85	5201	25040
86	5263	24986
87	5320	24909
88	5381	24853
89	5435	24762
90	5495	24699
91	5551	24620
92	5612	24561
93	5670	24493
94	5722	24397
95	5781	24331
96	5834	24238
97	5888	24153
98	5946	24086
99	6003	24013
100	6058	23935
101	6115	23861
102	6174	23798
103	6235	23742
104	6290	23665
105	6349	23601
106	6407	23535
107	6468	23479
108	6519	23387
109	6578	23322
110	6638	23265
111	6693	23188
112	6750	23118
113	6808	23054
114	6863	22979
115	6918	22902
116	6975	22833
117	7036	22777
118	7093	22710
119	7149	22641
120	7207	22575
121	7265	22509
122	7323	22445
123	7385	22395
124	7447	22341
125	7505	22276
126	7567	22225
127	7626	22164
128	7682	22094
129	7740	22030
130	7802	21978
131	7857	21905
132	7910	21829
133	7971	21773
134	8029	21710
135	8086	21643
136	8139	21566
137	8195	21498
138	8250	21428
139	8316	21384
140	8372	21316
141	8428	21250
142	8485	21184
143	8546	21127
144	8606	21070
145	8665	21010
146	8721	20943
147	8781	20885
148	8840	20826
149	8898	20763
150	8954	20695
151	9013	20635
152	9075	20581
153	9138	20532
154	9193	20462
155	9247	20392
156	9301	20320
157	9352	20244
158	9411	20183
159	9470	20124
160	9523	20051
161	9585	20000
162	9642	19935
163	9699	19872
164	9759	19815
165	9817	19752
166	9873	19688
167	9936	19636
168	9994	19574
169	10066	19540
170	10128	19486
171	10188	19429
172	10245	19365
173	10305	19307
174	10361	19242
175	10412	19169
176	10475	19115
177	10530	19049
178	10587	18986
179	10648	18930
180	10700	18858
181	10755	18793
182	10811	18727
183	10871	18669
184	10928	18607
185	11000	18570
186	11055	18505
187	11112	18441
188	11168	18377
189	11221	18308
190	11278	18246
191	11333	18181
192	11397	18130
193	11455	18069
194	11521	18020
195	11577	17956
196	11641	17906
197	11699	17844
198	11754	17778
199	11812	17718
200	11881	17674
201	11942	17618
202	12002	17559
203	12058	17497
204	12115	17434
205	12179	17381
206	12243	17330
207	12301	17269
208	12366	17218
209	12424	17157
210	12481	17095
211	12537	17032
212	12608	16988
213	12666	16928
214	12721	16862
215	12778	16801
216	12838	16743
217	12898	16685
218	12958	16627
219	13012	16561
220	13070	16500
221	13127	16439
222	13184	16377
223	13247	16322
224	13306	16263
225	13365	16204
226	13425	16146
227	13483	16085
228	13542	16026
229	13596	15960
230	13652	15898
231	13714	15842
232	13775	15785
233	13830	15721
234	13885	15657
235	13937	15591
236	13997	15533
237	14062	15480
238	14119	15419
239	14174	15355
240	14230	15293
241	14285	15229
242	14345	15171
243	14404	15113
244	14464	15054
245	14523	14996
246	14579	14933
247	14641	14877
248	14692	14810
249	14749	14749
250	14810	14692
251	14865	14629
252	14924	14570
253	14984	14512
254	15038	14448
255	15096	14388
256	15160	14335
257	15228	14283
258	15283	14220
259	15339	14159
260	15395	14097
261	15463	14047
262	15517	13983
263	15572	13920
264	15629	13860
265	15692	13804
266	15748	13743
267	15807	13684
268	15865	13624
269	15922	13563
270	15985	13508
271	16042	13447
272	16101	13388
273	16154	13324
274	16214	13266
275	16272	13206
276	16333	13148
277	16389	13087
278	16455	13034
279	16508	12971
280	16565	12910
281	16624	12851
282	16681	12791
283	16734	12727
284	16790	12666
285	16848	12606
286	16904	12545
287	16957	12482
288	17013	12421
289	17076	12365
290	17136	12307
291	17192	12246
292	17260	12194
